show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s00001,Movie,Title 1,Director C,"Actor M, Actor N",United States,"March 26, 2020",2021,G,3 Seasons,Horror Movies,Sample description of the show/movie.
s00002,TV Show,Title 2,Director B,,United States,"October 21, 2019",2022,TV-MA,1 Season,Dramas,Sample description of the show/movie.
s00003,Movie,Title 3,Director B,"Actor M, Actor N",United Kingdom,"July 01, 2019",2002,TV-14,45 min,Dramas,Sample description of the show/movie.
s00004,Movie,Title 4,,"Actor X, Actor Y",India,"April 30, 2021",2011,TV-MA,3 Seasons,Comedies,Sample description of the show/movie.
s00005,Movie,Title 5,Director B,,Japan,"January 17, 2018",2015,R,3 Seasons,Horror Movies,Sample description of the show/movie.
s00006,TV Show,Title 6,Director B,"Actor X, Actor Y",Canada,"May 28, 2021",2018,TV-MA,3 Seasons,Comedies,Sample description of the show/movie.
s00007,Movie,Title 7,Director B,,India,"December 05, 2020",2004,TV-MA,3 Seasons,Comedies,Sample description of the show/movie.
s00008,Movie,Title 8,,,Canada,"November 17, 2023",2021,TV-MA,3 Seasons,Comedies,Sample description of the show/movie.
s00009,Movie,Title 9,Director B,"Actor A, Actor B",United Kingdom,"November 04, 2022",2013,G,2 Seasons,Documentaries,Sample description of the show/movie.
s00010,TV Show,Title 10,Director C,"Actor X, Actor Y",United Kingdom,"November 26, 2020",2004,TV-MA,45 min,Documentaries,Sample description of the show/movie.
s00011,Movie,Title 11,,"Actor M, Actor N",United States,"October 29, 2018",2014,TV-14,3 Seasons,Comedies,Sample description of the show/movie.
s00012,Movie,Title 12,Director C,"Actor M, Actor N",Japan,"June 30, 2018",2016,R,45 min,Horror Movies,Sample description of the show/movie.
s00013,Movie,Title 13,,"Actor X, Actor Y",Canada,"August 30, 2019",2013,R,2 Seasons,Dramas,Sample description of the show/movie.
s00014,Movie,Title 14,Director B,"Actor M, Actor N",India,"December 01, 2019",2019,TV-MA,2 Seasons,Horror Movies,Sample description of the show/movie.
s00015,TV Show,Title 15,Director C,"Actor M, Actor N",United Kingdom,"September 19, 2020",2004,G,45 min,Action & Adventure,Sample description of the show/movie.
s00016,Movie,Title 16,,"Actor X, Actor Y",United States,"February 13, 2021",2011,G,90 min,Documentaries,Sample description of the show/movie.
s00017,TV Show,Title 17,Director A,,United States,"July 10, 2018",2015,TV-14,1 Season,Dramas,Sample description of the show/movie.
s00018,TV Show,Title 18,Director B,"Actor X, Actor Y",Canada,"September 07, 2020",2015,TV-MA,90 min,Dramas,Sample description of the show/movie.
s00019,TV Show,Title 19,,,United Kingdom,"June 30, 2023",2020,R,90 min,Action & Adventure,Sample description of the show/movie.
s00020,Movie,Title 20,Director A,"Actor M, Actor N",Japan,"March 30, 2021",2006,G,90 min,Action & Adventure,Sample description of the show/movie.
s00021,TV Show,Title 21,,"Actor M, Actor N",United Kingdom,"May 08, 2018",2003,TV-MA,3 Seasons,Comedies,Sample description of the show/movie.
s00022,Movie,Title 22,Director A,"Actor M, Actor N",Canada,"August 28, 2023",2000,G,2 Seasons,Documentaries,Sample description of the show/movie.
s00023,TV Show,Title 23,Director B,"Actor A, Actor B",Canada,"December 22, 2022",2004,G,90 min,Documentaries,Sample description of the show/movie.
s00024,TV Show,Title 24,Director C,,United Kingdom,"October 25, 2022",2022,R,2 Seasons,Horror Movies,Sample description of the show/movie.
s00025,TV Show,Title 25,Director A,"Actor A, Actor B",Canada,"July 24, 2019",2009,PG,45 min,Comedies,Sample description of the show/movie.
s00026,TV Show,Title 26,,"Actor A, Actor B",United Kingdom,"September 08, 2021",2021,TV-14,1 Season,Comedies,Sample description of the show/movie.
s00027,TV Show,Title 27,Director B,"Actor X, Actor Y",India,"March 11, 2023",2004,TV-14,45 min,Comedies,Sample description of the show/movie.
s00028,TV Show,Title 28,Director A,"Actor A, Actor B",United Kingdom,"September 18, 2019",2003,R,45 min,Comedies,Sample description of the show/movie.
s00029,TV Show,Title 29,,"Actor X, Actor Y",United Kingdom,"August 14, 2022",2001,G,3 Seasons,Documentaries,Sample description of the show/movie.
s00030,TV Show,Title 30,,"Actor X, Actor Y",Canada,"June 04, 2018",2019,TV-MA,1 Season,Documentaries,Sample description of the show/movie.
s00031,Movie,Title 31,,"Actor A, Actor B",Canada,"November 10, 2021",2009,G,45 min,Comedies,Sample description of the show/movie.
s00032,Movie,Title 32,Director A,,United States,"February 24, 2020",2018,R,45 min,Horror Movies,Sample description of the show/movie.
s00033,TV Show,Title 33,Director A,,United States,"September 03, 2018",2000,TV-14,1 Season,Dramas,Sample description of the show/movie.
s00034,TV Show,Title 34,Director A,,India,"February 09, 2022",2023,G,1 Season,Dramas,Sample description of the show/movie.
s00035,TV Show,Title 35,Director C,,United States,"September 02, 2022",2004,TV-14,45 min,Horror Movies,Sample description of the show/movie.
s00036,Movie,Title 36,Director A,,United Kingdom,"June 22, 2019",2012,TV-MA,1 Season,Comedies,Sample description of the show/movie.
s00037,TV Show,Title 37,Director A,"Actor A, Actor B",Canada,"March 06, 2023",2003,TV-14,45 min,Documentaries,Sample description of the show/movie.
s00038,Movie,Title 38,Director A,"Actor A, Actor B",United States,"January 16, 2023",2015,TV-14,45 min,Dramas,Sample description of the show/movie.
s00039,Movie,Title 39,Director C,"Actor M, Actor N",United States,"July 09, 2020",2023,PG,3 Seasons,Action & Adventure,Sample description of the show/movie.
s00040,Movie,Title 40,Director A,,India,"June 09, 2019",2015,PG,90 min,Action & Adventure,Sample description of the show/movie.
s00041,Movie,Title 41,,"Actor A, Actor B",India,"March 10, 2022",2022,PG,45 min,Horror Movies,Sample description of the show/movie.
